Date,styrene quote $,butadiene quote euro,SAN quote $,quote ABS Asian,quote ABS Europe,dollar exchange rate,euro exchange rate,ABS selling price
Jan-17,1041,1650,1016,1350,1953,60,64,101030
Feb-17,1250,1850,1128,1479,2226,59,62,103060
Mar-17,1504,1953,1335,1575,2393,58,62,114410
Apr-17,1400,1601,1600,1566,2302,56,60,115730
May-17,1146,1339,1650,1523,2179,57,63,110040
Jun-17,1060,870,1658,1471,2186,58,65,109060
Jul-17,1126,770,1665,1425,2184,60,69,105670
Aug-17,1169,771,1513,1486,2248,60,70,105060
Sep-17,1198,897,1444,1745,2387,58,69,104990
Oct-17,1386,776,1460,1956,2336,58,68,107630
Nov-17,1233,684,1788,1931,2239,59,69,108900
Dec-17,1195,665,1840,1788,2326,59,69,108900
Jan-18,1276,774,1736,1805,2659,56,69,108900
Feb-18,1302,866,1700,1916,2723,57,70,109890
Mar-18,1503,932,1730,1950,2786,57,70,112288
Apr-18,1456,998,1836,1970,2784,61,75,117797
May-18,1441,1122,1849,2033,2750,62,74,118898
Jun-18,1386,1270,1843,2090,2793,63,73,99761
Jul-18,1353,1210,1899,2175,2810,63,73,103934
Aug-18,1286,1245,1963,2222,2807,66,76,104560
Sep-18,1379,1273,2090,2230,2840,68,79,106978
Oct-18,1336,1150,2100,2123,2848,66,76,106978
Nov-18,1291,998,2038,1720,2790,66,75,99828
Dec-18,1029,863,1738,1442,2693,67,77,99828
Jan-19,938,825,1309,1473,2616,67,76,114847
Feb-19,933,858,1265,1524,2614,66,75,111767
Mar-19,973,916,1313,1571,2640,65,74,111692
Apr-19,1059,901,1538,1581,2705,65,73,115985
May-19,1095,850,1669,1481,2742,65,72,115985
Jun-19,1042,808,1812,1415,2720,64,72,111417
Jul-19,944,788,1783,1488,2623,63,71,104583
Aug-19,933,783,1581,1393,2606,66,73,103371
Sep-19,952,783,1526,1388,2623,65,72,104583
Oct-19,969,770,1599,1405,2625,64,71,104583
Nov-19,944,721,1623,1334,2590,64,71,104583
Dec-19,884,686,1487,1378,2548,63,70,98417
Jan-20,793,699,1380,1409,2541,62,69,98417
Feb-20,848,702,1350,1366,2590,64,70,98417
Mar-20,852,618,1290,1221,1783,74,81,95833
Apr-20,688,340,1151,1094,1441,75,81,95833
May-20,456,216,895,1122,1288,73,79,95833
Jun-20,538,200,700,1411,1269,69,78,95833
Jul-20,590,221,764,1403,1309,71,81,94983
Aug-20,675,318,849,1621,1354,74,87,94983
Sep-20,665,396,858,1770,1365,76,89,94983
Oct-20,635,491,911,1875,1378,78,91,102917
Nov-20,650,564,1040,2267,1435,77,91,102917
Dec-20,925,625,1490,2270,1440,74,90,102917